Month,Sales of shampoo over a three year period
01.01.17,266
01.02.17,145.9
01.03.17,183.1
01.04.17,119.3
01.05.17,180.3
01.06.17,168.5
01.07.17,231.8
01.08.17,224.5
01.09.17,192.8
01.10.17,122.9
01.11.17,336.5
01.12.17,185.9
02.01.17,194.3
02.02.17,149.5
02.03.17,210.1
02.04.17,273.3
02.05.17,191.4
02.06.17,287
02.07.17,226
02.08.17,303.6
02.09.17,289.9
02.10.17,421.6
02.11.17,264.5
02.12.17,342.3
03.01.17,339.7
03.02.17,440.4
03.03.17,315.9
03.04.17,439.3
03.05.17,401.3
03.06.17,437.4
03.07.17,575.5
03.08.17,407.6
03.09.17,682
03.10.17,475.3
03.11.17,581.3
03.12.17,646.9
